sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
花蓮,花蓮縣,22,,良好,0.7,0.15,30,23.5,17,6,1.8,2.5,0.7,1.6,146,"2024/02/19 16:00:00",0.1,6.8,10,0,121.599769,23.971306,63
陽明,臺北市,47,,良好,3,0.25,65,51.2,21,19,3.8,4.7,0.8,,,"2024/02/19 16:00:00",0.2,14.6,18,1,121.529583,25.182722,64
宜蘭,宜蘭縣,29,,良好,0.6,0.15,32.8,31.1,12,6,2.8,3.7,0.9,2.2,32,"2024/02/19 16:00:00",0.2,7.3,14,0,121.746394,24.747917,65
冬山,宜蘭縣,35,,良好,1.8,0.39,36.4,21.7,36,14,9.5,14,4.5,1.4,201,"2024/02/19 16:00:00",0.3,10.9,31,0,121.792928,24.632203,66
三重,新北市,64,二氧化氮,普通,2.1,0.92,31.5,24.6,42,24,50.5,92.8,42.2,-,-,"2024/02/19 16:00:00",0.9,18.9,34,1,121.493806,25.072611,67
中壢,桃園市,54,細懸浮微粒,普通,2.6,0.56,40.9,27.1,37,21,23.9,47.7,23.8,1.5,50,"2024/02/19 16:00:00",0.8,16.7,32,2,121.221667,24.953278,68
竹山,南投縣,51,細懸浮微粒,普通,1.5,0.18,63.9,43.9,29,16,4.1,5.4,1.3,2.3,277,"2024/02/19 16:00:00",0.2,15.6,24,0,120.677306,23.756389,69
永和,新北市,55,二氧化氮,普通,2.1,0.9,45.9,35.9,48,23,37.9,47,9,1.2,37,"2024/02/19 16:00:00",0.9,16.4,28,1,121.516306,25.017,70
復興,高雄市,27,,良好,1.2,0.16,26.1,22,17,8,10.7,14.9,4.2,1.5,285,"2024/02/19 16:00:00",0.3,8.3,19,2,120.312017,22.608711,71
埔里,南投縣,36,,良好,1.2,0.14,40.5,33.3,10,6,2.8,3.6,0.8,2,288,"2024/02/19 16:00:00",0.2,11,16,1,120.967903,23.968842,72
